Date:,ITS_Energy (kWh),EM-1 Export Energy (MWh),EM-2 Export Energy (MWh),EM-1 Import Energy (MWh),EM-2 Import Energy (MWh),,,,,,,,
01-01-2023 00:00,0,104.33,104.34,1.01,1,,,,,,,,
01-01-2023 01:00,0,104.33,104.34,1.01,1,,,,,,,,
01-01-2023 02:00,0,104.33,104.34,1.01,1,,,,,,,,
01-01-2023 03:00,0,104.33,104.34,1.01,1.01,,,,,,,,
01-01-2023 04:00,0,104.33,104.34,1.01,1.01,,,,,,,,
01-01-2023 05:00,0,104.33,104.34,1.01,1.01,,,,,,,,
01-01-2023 06:00,0,104.33,104.34,1.01,1.01,,,,,,,,
01-01-2023 07:00,0,104.33,104.34,1.01,1.01,,,,,,,,
01-01-2023 08:00,0,104.33,104.34,1.01,1.01,,,,,,,,
01-01-2023 09:00,0.01,104.33,104.34,1.01,1.01,,,,,,,,
01-01-2023 10:00,0.01,104.34,104.34,1.01,1.01,,,,,,,,
01-01-2023 11:00,0.04,104.34,104.35,1.01,1.01,,,,,,,,
01-01-2023 12:00,0.08,104.36,104.37,1.01,1.01,,,,,,,,
01-01-2023 13:00,0.07,104.4,104.41,1.01,1.01,,,,,,,,
01-01-2023 14:00,0.05,104.44,104.44,1.01,1.01,,,,,,,,
01-01-2023 15:00,0.04,104.46,104.47,1.01,1.01,,,,,,,,
01-01-2023 16:00,0,104.48,104.49,1.01,1.01,,,,,,,,
01-01-2023 17:00,0,104.48,104.49,1.01,1.01,,,,,,,,
01-01-2023 18:00,0,104.48,104.49,1.01,1.01,,,,,,,,
01-01-2023 19:00,0,104.48,104.49,1.01,1.01,,,,,,,,
01-01-2023 20:00,0,104.48,104.49,1.01,1.01,,,,,,,,
01-01-2023 21:00,0,104.48,104.49,1.01,1.01,,,,,,,,
01-01-2023 22:00,0,104.48,104.49,1.01,1.01,,,,,,,,
01-01-2023 23:00,0,104.48,104.49,1.01,1.01,,,,,,,,
02-01-2023 00:00,0,104.48,104.49,1.01,1.01,,,,,,,,
02-01-2023 01:00,0,104.48,104.49,1.01,1.01,,,,,,,,
02-01-2023 02:00,0,104.48,104.49,1.01,1.01,,,,,,,,
02-01-2023 03:00,0,104.48,104.49,1.01,1.01,,,,,,,,
02-01-2023 04:00,0,104.48,104.49,1.01,1.01,,,,,,,,
02-01-2023 05:00,0,104.48,104.49,1.01,1.01,,,,,,,,
02-01-2023 06:00,0,104.48,104.49,1.01,1.01,,,,,,,,
02-01-2023 07:00,0,104.48,104.49,1.01,1.01,,,,,,,,
02-01-2023 08:00,0.01,104.48,104.49,1.01,1.01,,,,,,,,
02-01-2023 09:00,0.01,104.49,104.49,1.01,1.01,,,,,,,,
02-01-2023 10:00,0.02,104.49,104.5,1.01,1.01,,,,,,,,
02-01-2023 11:00,0.04,104.5,104.51,1.01,1.01,,,,,,,,
02-01-2023 12:00,0.08,104.52,104.53,1.01,1.01,,,,,,,,
02-01-2023 13:00,0.08,104.56,104.57,1.01,1.01,,,,,,,,
02-01-2023 14:00,0.06,104.6,104.61,1.01,1.01,,,,,,,,
02-01-2023 15:00,0.03,104.63,104.64,1.01,1.01,,,,,,,,
02-01-2023 16:00,0.01,104.65,104.65,1.01,1.01,,,,,,,,
02-01-2023 17:00,0,104.65,104.66,1.01,1.01,,,,,,,,
02-01-2023 18:00,0,104.65,104.66,1.01,1.01,,,,,,,,
02-01-2023 19:00,0,104.65,104.66,1.01,1.01,,,,,,,,
02-01-2023 20:00,0,104.65,104.66,1.01,1.01,,,,,,,,
02-01-2023 21:00,0,104.65,104.66,1.01,1.01,,,,,,,,
02-01-2023 22:00,0,104.65,104.66,1.01,1.01,,,,,,,,
02-01-2023 23:00,0,104.65,104.66,1.01,1.01,,,,,,,,
03-01-2023 00:00,0,104.65,104.66,1.01,1.01,,,,,,,,
03-01-2023 01:00,0,104.65,104.66,1.01,1.01,,,,,,,,
03-01-2023 02:00,0,104.65,104.66,1.01,1.01,,,,,,,,
03-01-2023 03:00,0,104.65,104.66,1.01,1.01,,,,,,,,
03-01-2023 04:00,0,104.65,104.66,1.01,1.01,,,,,,,,
03-01-2023 05:00,0,104.65,104.66,1.01,1.01,,,,,,,,
03-01-2023 06:00,0,104.65,104.66,1.01,1.01,,,,,,,,
03-01-2023 07:00,0,104.65,104.66,1.01,1.01,,,,,,,,
03-01-2023 08:00,0,104.65,104.66,1.01,1.01,,,,,,,,
03-01-2023 09:00,0.02,104.65,104.66,1.01,1.01,,,,,,,,
03-01-2023 10:00,0.02,104.66,104.67,1.01,1.01,,,,,,,,
03-01-2023 11:00,0.06,104.67,104.68,1.01,1.01,,,,,,,,
03-01-2023 12:00,0.1,104.7,104.71,1.01,1.01,,,,,,,,
03-01-2023 13:00,0.08,104.75,104.76,1.01,1.01,,,,,,,,
03-01-2023 14:00,0.06,104.79,104.8,1.01,1.01,,,,,,,,
03-01-2023 15:00,0.03,104.82,104.83,1.01,1.01,,,,,,,,
03-01-2023 16:00,0.01,104.84,104.84,1.01,1.01,,,,,,,,
03-01-2023 17:00,0,104.84,104.85,1.01,1.01,,,,,,,,
03-01-2023 18:00,0,104.84,104.85,1.01,1.01,,,,,,,,
03-01-2023 19:00,0,104.84,104.85,1.01,1.01,,,,,,,,
03-01-2023 20:00,0,104.84,104.85,1.01,1.01,,,,,,,,
03-01-2023 21:00,0,104.84,104.85,1.01,1.01,,,,,,,,
03-01-2023 22:00,0,104.84,104.85,1.01,1.01,,,,,,,,
03-01-2023 23:00,0,104.84,104.85,1.02,1.01,,,,,,,,
04-01-2023 00:00,0,104.84,104.85,1.02,1.01,,,,,,,,
04-01-2023 01:00,0,104.84,104.85,1.02,1.01,,,,,,,,
04-01-2023 02:00,0,104.84,104.85,1.02,1.01,,,,,,,,
04-01-2023 03:00,0,104.84,104.85,1.02,1.02,,,,,,,,
04-01-2023 04:00,0,104.84,104.85,1.02,1.02,,,,,,,,
04-01-2023 05:00,0,104.84,104.85,1.02,1.02,,,,,,,,
04-01-2023 06:00,0,104.84,104.85,1.02,1.02,,,,,,,,
04-01-2023 07:00,0,104.84,104.85,1.02,1.02,,,,,,,,
04-01-2023 08:00,0,104.84,104.85,1.02,1.02,,,,,,,,
04-01-2023 09:00,0.02,104.84,104.85,1.02,1.02,,,,,,,,
04-01-2023 10:00,0.02,104.85,104.86,1.02,1.02,,,,,,,,
