timestamp,2023-04-01_KERAGHARI_WEATHER_STATION_1,,,KERAGHARI_WEATHER_STATION_2,,,RATAMATE_WEATHER_STATION_1,,,RATAMATE_WEATHER_STATION_2,,,HELIPAD_WEATHER_STATION_1,,,HELIPAD_WEATHER_STATION_2,,,FOREBAY_WEATHER_STATION_1,,,FOREBAY_WEATHER_STATION_2,,,STAFF_QUARTER_WEATHER_STATION_1,,,STAFF_QUARTER_WEATHER_STATION_2,,,COFFEE_AREA_1_WEATHER_STATION_1,,,COFFEE_AREA_1_WEATHER_STATION_2,,,COFFEE_AREA_2_WEATHER_STATION_1,,,COFFEE_AREA_2_WEATHER_STATION_2,,
,Inst,Avg,Max,Inst,Avg,Max,Inst,Avg,Max,Inst,Avg,Max,Inst,Avg,Max,Inst,Avg,Max,Inst,Avg,Max,Inst,Avg,Max,Inst,Avg,Max,Inst,Avg,Max,Inst,Avg,Max,Inst,Avg,Max,Inst,Avg,Max,Inst,Avg,Max
01-01-2023 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01-2023 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.03,0.25,0,0,0,0,0,0,0,0,0,0,0,0.07
01-01-2023 02:00,0.12,0.2,0.43,0.06,0.13,0.32,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01-2023 03:00,0.31,0.42,0.55,0.06,0.19,0.32,0.22,0.19,0.49,0.33,0.37,0.6,0.36,0.4,0.52,0.43,0.46,0.68,0.23,0.2,0.37,0.32,0.35,0.57,0.36,0.4,0.61,0.43,0.63,0.8,0.31,0.26,0.43,0.35,0.16,0.29,0.3,0.23,0.42,0.2,0.34,0.53
01-01-2023 04:00,0.31,0.35,0.49,0.06,0.1,0.25,0.27,0.3,0.43,0.27,0.26,0.47,0.36,0.27,0.36,0.31,0.33,0.49,0.09,0.11,0.23,0.25,0.18,0.32,0.36,0.25,0.42,0.25,0.22,0.43,0.18,0.18,0.37,0.23,0.19,0.29,0.3,0.22,0.42,0.33,0.19,0.33
01-01-2023 05:00,0.43,0.4,0.55,0.13,0.16,0.25,0.16,0.27,0.38,0.33,0.31,0.47,0.36,0.29,0.41,0.31,0.29,0.43,0.19,0.19,0.33,0.25,0.22,0.38,0.24,0.26,0.42,0.25,0.28,0.43,0.31,0.34,0.49,0.29,0.29,0.41,0.36,0.31,0.48,0.33,0.3,0.46
01-01-2023 06:00,0.43,0.36,0.49,0.13,0.09,0.25,0.27,0.24,0.38,0.2,0.28,0.47,0.21,0.28,0.41,0.31,0.28,0.43,0.19,0.17,0.33,0.25,0.2,0.45,0.18,0.23,0.36,0.31,0.23,0.37,0.18,0.22,0.37,0.29,0.25,0.35,0.24,0.3,0.54,0.26,0.23,0.39
01-01-2023 07:00,1.95,0.71,1.22,1.76,0.29,0.57,2.16,0.38,0.65,2,0.38,0.67,1.24,0.35,0.57,1.54,0.39,0.68,1.22,0.25,0.51,1.21,0.65,1.08,1.45,0.34,0.61,1.61,0.37,0.68,1.72,0.4,0.61,1.58,0.5,0.82,1.79,0.4,0.66,1.71,0.41,0.66
01-01-2023 08:00,23.64,17.68,20.16,24.2,15.72,17.39,22.88,15.85,17.81,22.65,15.6,17.24,15.29,9.98,11.42,18.94,12.35,13.51,17.29,11.15,13.04,16.29,13.07,15.02,17.86,12.39,15.01,20.04,13.96,15.77,19.42,13.89,15.99,21.45,16.45,18.23,22.06,15.31,19.55,21.07,15.34,19.3
